food_name_in_jsonl,unit_names_in_jsonl,result,filled_coef,matched_by,matched_source_food,matched_source_status,matched_source_version
米饭,小碗 / 碟,not_found,,,,,
米饭,盘,not_found,,,,,
米饭,小份,not_found,,,,,
米饭,盒,not_found,,,,,
米饭,拳 / 拳头,not_found,,,,,
米饭,大碗,not_found,,,,,
米饭,两,not_found,,,,,
鸡蛋,个 / 只 / 枚,not_found,,,,,
鸡蛋,g / 克 / G,not_found,,,,,
鸡蛋,颗,not_found,,,,,
鸡蛋,碗,not_found,,,,,
香蕉,根,not_found,,,,,
香蕉,个,not_found,,,,,
香蕉,g / 克 / G,not_found,,,,,
牛奶,杯,not_found,,,,,
牛奶,ml / mL / 毫升 / ML / Ml,not_found,,,,,
牛奶,g / 克 / G,not_found,,,,,
牛奶,瓶,not_found,,,,,
牛奶,盒,not_found,,,,,
牛奶,袋,not_found,,,,,
牛奶,碗,not_found,,,,,
牛奶,包,not_found,,,,,
馒头,个,not_found,,,,,
馒头,g / 克 / G,not_found,,,,,
馒头,块,not_found,,,,,
玉米,根,not_found,,,,,
玉米,g / 克 / G,not_found,,,,,
玉米,个,not_found,,,,,
玉米,段,not_found,,,,,
玉米,块,not_found,,,,,
玉米,节,not_found,,,,,
苹果,个,not_found,,,,,
苹果,g / 克 / G,not_found,,,,,
黄瓜,根,not_found,,,,,
黄瓜,g / 克 / G,not_found,,,,,
黄瓜,个,not_found,,,,,
黄瓜,小盘 / 碟,not_found,,,,,
黄瓜,份,not_found,,,,,
豆浆,杯,not_found,,,,,
豆浆,碗,not_found,,,,,
豆浆,ml / mL / 毫升 / ML / Ml,not_found,,,,,
豆浆,g / 克 / G,not_found,,,,,
豆浆,袋,not_found,,,,,
豆浆,份,not_found,,,,,
西瓜,拳,not_found,,,,,
西瓜,g / 克 / G,not_found,,,,,
西瓜,块,not_found,,,,,
西瓜,个,not_found,,,,,
西瓜,片,not_found,,,,,
西瓜,份,not_found,,,,,
生菜,小盘 / 碟 / 叠,not_found,,,,,
生菜,g / 克 / G,not_found,,,,,
生菜,片 / 叶,not_found,,,,,
生菜,碗,not_found,,,,,
生菜,份,not_found,,,,,
生菜,颗 / 个 / 棵 / 根,not_found,,,,,
生菜,盘,not_found,,,,,
红薯,个,not_found,,,,,
红薯,g / 克 / G,not_found,,,,,
红薯,根,not_found,,,,,
红薯,块,not_found,,,,,
青菜,小盘 / 碟,not_found,,,,,
青菜,g / 克 / G,not_found,,,,,
青菜,份,not_found,,,,,
青菜,小份,not_found,,,,,
青菜,盘,not_found,,,,,
青菜,小碗 / 碟,not_found,,,,,
青菜,碗,not_found,,,,,
青菜,片,not_found,,,,,
青菜,大碗,not_found,,,,,
青菜,把,not_found,,,,,
青菜,颗 / 个 / 根,not_found,,,,,
酸奶,杯,not_found,,,,,
酸奶,g / 克 / G,not_found,,,,,
酸奶,瓶 / 罐,not_found,,,,,
酸奶,小袋,not_found,,,,,
酸奶,袋,not_found,,,,,
酸奶,盒,not_found,,,,,
酸奶,勺,not_found,,,,,
酸奶,ml / mL / 毫升 / ML / Ml,not_found,,,,,
酸奶,份,not_found,,,,,
酸奶,碗,not_found,,,,,
酸奶,包,not_found,,,,,
酸奶,个,not_found,,,,,
西兰花,g / 克 / G,not_found,,,,,
西兰花,小盘 / 碟,not_found,,,,,
