food_name,unit
米饭,碗
白米饭,碗
大米饭,碗
米饭（蒸，代表值）,碗
熟米饭,碗
米饭,g
白米饭,g
大米饭,g
米饭（蒸，代表值）,g
熟米饭,g
米饭,份
白米饭,份
大米饭,份
米饭（蒸，代表值）,份
熟米饭,份
米饭,小碗
白米饭,小碗
大米饭,小碗
米饭（蒸，代表值）,小碗
熟米饭,小碗
米饭,盘
白米饭,盘
大米饭,盘
米饭（蒸，代表值）,盘
熟米饭,盘
米饭,小份
白米饭,小份
大米饭,小份
米饭（蒸，代表值）,小份
熟米饭,小份
米饭,盒
白米饭,盒
大米饭,盒
米饭（蒸，代表值）,盒
熟米饭,盒
米饭,拳
白米饭,拳
大米饭,拳
米饭（蒸，代表值）,拳
熟米饭,拳
米饭,大碗
白米饭,大碗
大米饭,大碗
米饭（蒸，代表值）,大碗
熟米饭,大碗
米饭,两
白米饭,两
大米饭,两
米饭（蒸，代表值）,两
熟米饭,两
鸡蛋,个
水煮鸡蛋,个
水煮蛋,个
煮鸡蛋,个
茶叶蛋,个
白煮蛋,个
蛋,个
荷包蛋（煮）,个
全蛋,个
白水煮蛋,个
煮蛋,个
白鸡蛋,个
鸡蛋,g
水煮鸡蛋,g
水煮蛋,g
煮鸡蛋,g
茶叶蛋,g
白煮蛋,g
蛋,g
荷包蛋（煮）,g
全蛋,g
白水煮蛋,g
煮蛋,g
白鸡蛋,g
鸡蛋,颗
水煮鸡蛋,颗
水煮蛋,颗
煮鸡蛋,颗
茶叶蛋,颗
白煮蛋,颗
蛋,颗
荷包蛋（煮）,颗
全蛋,颗
白水煮蛋,颗
煮蛋,颗
白鸡蛋,颗
鸡蛋,碗
水煮鸡蛋,碗
水煮蛋,碗
煮鸡蛋,碗
茶叶蛋,碗
白煮蛋,碗
蛋,碗
荷包蛋（煮）,碗
全蛋,碗
白水煮蛋,碗
煮蛋,碗
白鸡蛋,碗
香蕉,根
香蕉,个
香蕉,g
牛奶,杯
纯牛奶,杯
伊利 纯牛奶,杯
蒙牛 纯牛奶,杯
蒙牛 特仑苏纯牛奶,杯
伊利 金典纯牛奶,杯
伊利纯牛奶,杯
牛奶,ml
纯牛奶,ml
伊利 纯牛奶,ml
蒙牛 纯牛奶,ml
蒙牛 特仑苏纯牛奶,ml
伊利 金典纯牛奶,ml
伊利纯牛奶,ml
牛奶,g
纯牛奶,g
伊利 纯牛奶,g
蒙牛 纯牛奶,g
蒙牛 特仑苏纯牛奶,g
伊利 金典纯牛奶,g
伊利纯牛奶,g
牛奶,瓶
纯牛奶,瓶
伊利 纯牛奶,瓶
蒙牛 纯牛奶,瓶
蒙牛 特仑苏纯牛奶,瓶
伊利 金典纯牛奶,瓶
伊利纯牛奶,瓶
牛奶,盒
纯牛奶,盒
伊利 纯牛奶,盒
蒙牛 纯牛奶,盒
蒙牛 特仑苏纯牛奶,盒
伊利 金典纯牛奶,盒
伊利纯牛奶,盒
牛奶,袋
纯牛奶,袋
伊利 纯牛奶,袋
蒙牛 纯牛奶,袋
蒙牛 特仑苏纯牛奶,袋
伊利 金典纯牛奶,袋
伊利纯牛奶,袋
牛奶,碗
纯牛奶,碗
伊利 纯牛奶,碗
蒙牛 纯牛奶,碗
蒙牛 特仑苏纯牛奶,碗
伊利 金典纯牛奶,碗
伊利纯牛奶,碗
牛奶,包
纯牛奶,包
伊利 纯牛奶,包
蒙牛 纯牛奶,包
蒙牛 特仑苏纯牛奶,包
伊利 金典纯牛奶,包
伊利纯牛奶,包
馒头,个
白面馒头,个
大馒头,个
白馒头,个
北方老面馒头,个
大白馒头,个
老面馒头,个
白色馒头,个
北方馒头,个
馒头,g
白面馒头,g
大馒头,g
白馒头,g
北方老面馒头,g
大白馒头,g
老面馒头,g
白色馒头,g
北方馒头,g
馒头,块
白面馒头,块
大馒头,块
白馒头,块
北方老面馒头,块
大白馒头,块
老面馒头,块
白色馒头,块
北方馒头,块
玉米,根
煮玉米,根
糯玉米,根
水煮玉米,根
熟玉米,根
玉米,g
煮玉米,g
糯玉米,g
水煮玉米,g
熟玉米,g
玉米,个
煮玉米,个
糯玉米,个
水煮玉米,个
熟玉米,个
玉米,段
煮玉米,段
糯玉米,段
水煮玉米,段
熟玉米,段
玉米,块
煮玉米,块
糯玉米,块
水煮玉米,块
熟玉米,块
玉米,节
煮玉米,节
糯玉米,节
水煮玉米,节
熟玉米,节
苹果,个
红富士苹果,个
红苹果,个
苹果,g
红富士苹果,g
红苹果,g
黄瓜,根
秋黄瓜,根
生黄瓜,根
旱黄瓜,根
黄瓜,g
秋黄瓜,g
生黄瓜,g
旱黄瓜,g
黄瓜,个
秋黄瓜,个
生黄瓜,个
旱黄瓜,个
黄瓜,小盘
秋黄瓜,小盘
生黄瓜,小盘
旱黄瓜,小盘
黄瓜,份
秋黄瓜,份
生黄瓜,份
旱黄瓜,份
豆浆,杯
甜豆浆,杯
现磨豆浆,杯
纯豆浆,杯
豆浆,碗
甜豆浆,碗
现磨豆浆,碗
纯豆浆,碗
豆浆,ml
甜豆浆,ml
现磨豆浆,ml
纯豆浆,ml
豆浆,g
甜豆浆,g
现磨豆浆,g
纯豆浆,g
豆浆,袋
甜豆浆,袋
现磨豆浆,袋
纯豆浆,袋
豆浆,份
甜豆浆,份
现磨豆浆,份
纯豆浆,份
西瓜,拳
西瓜,g
西瓜,块
西瓜,个
西瓜,片
西瓜,份
生菜,小盘
水煮生菜（不加油）,小盘
生菜（生）,小盘
拌生菜,小盘
白灼生菜,小盘
混合生菜,小盘
煮生菜,小盘
罗马生菜,小盘
生菜,g
水煮生菜（不加油）,g
生菜（生）,g
拌生菜,g
白灼生菜,g
混合生菜,g
煮生菜,g
罗马生菜,g
生菜,片
水煮生菜（不加油）,片
生菜（生）,片
拌生菜,片
白灼生菜,片
混合生菜,片
煮生菜,片
罗马生菜,片
生菜,碗
水煮生菜（不加油）,碗
生菜（生）,碗
拌生菜,碗
白灼生菜,碗
混合生菜,碗
煮生菜,碗
罗马生菜,碗
生菜,份
水煮生菜（不加油）,份
生菜（生）,份
拌生菜,份
白灼生菜,份
混合生菜,份
煮生菜,份
罗马生菜,份
生菜,颗
水煮生菜（不加油）,颗
生菜（生）,颗
拌生菜,颗
白灼生菜,颗
混合生菜,颗
煮生菜,颗
罗马生菜,颗
生菜,盘
水煮生菜（不加油）,盘
生菜（生）,盘
拌生菜,盘
白灼生菜,盘
混合生菜,盘
煮生菜,盘
罗马生菜,盘
红薯,个
蒸红薯,个
水煮红薯,个
煮红薯,个
红薯,g
蒸红薯,g
水煮红薯,g
煮红薯,g
红薯,根
蒸红薯,根
水煮红薯,根
煮红薯,根
